folder_name,camera_x,camera_y,camera_z,L_Elbow,R_Elbow,L_Knee,R_Knee,L_Shoulder,R_Shoulder,L_Hip,R_Hip
CapturedFrames_-1.0_1.0_-3.0,-1.0,1.0,-3.0,64.82580243693249,22.4146888794574,59.65486828677139,61.57478668364095,88.26726721371892,54.1618014380072,78.80946787343322,47.72891066459387
CapturedFrames_-1.0_1.0_-4.0,-1.0,1.0,-4.0,36.47859399839608,27.529992380064357,99.72206690231428,142.6141352887298,47.4271894219565,44.199146265709494,72.19799081094436,33.1219825637686
CapturedFrames_-1.0_1.0_-5.0,-1.0,1.0,-5.0,27.939998723681043,19.14098646722948,59.736778741535176,61.52391843926948,37.884960627748534,43.37725273290528,66.23281721758681,38.251851690476485
CapturedFrames_-1.0_1.0_-6.0,-1.0,1.0,-6.0,37.41536464918384,19.923450663461495,59.36530575620125,60.42358228992369,37.461392358669876,40.29816449008485,56.317773998726224,33.07501812320014
CapturedFrames_-1.0_1.0_3.0,-1.0,1.0,3.0,44.03472023956755,89.10440901747334,56.36693802222072,48.04526543702451,40.80123646870504,97.74811708185044,49.040138786293596,45.77786793786312
CapturedFrames_-1.0_1.0_4.0,-1.0,1.0,4.0,45.71284426146772,54.96456719560079,59.56451188202814,42.04106723857413,41.08902983314923,50.279462070916914,62.243578982021575,46.75004171953745
CapturedFrames_-1.0_1.0_5.0,-1.0,1.0,5.0,44.982449373588594,50.837073497734124,49.27216745916118,47.1473139866703,50.70311285381625,49.24838726837508,46.0656595865004,49.11512324935508
CapturedFrames_-1.0_1.0_6.0,-1.0,1.0,6.0,49.14128896941391,19.834521523563154,41.007033794988246,35.876777452818516,45.731967779982114,33.41833319280782,36.416157888300816,51.442830091217616
CapturedFrames_-1.0_2.0_-3.0,-1.0,2.0,-3.0,61.936583330575814,66.03412479691559,62.121979080365534,59.39729408878556,41.10165846355841,81.93304291383475,84.79311650926765,53.114443443092426
CapturedFrames_-1.0_2.0_-4.0,-1.0,2.0,-4.0,28.787867521030904,26.785037463035053,63.47746610521574,68.25255134342642,40.36799132391532,43.003486312591654,76.9738765165401,50.51850076703896
CapturedFrames_-1.0_2.0_-5.0,-1.0,2.0,-5.0,22.181233769551994,23.274593846972834,63.86715386692737,57.123861721624536,38.98115655886661,47.64711085441424,81.56872467031846,44.93432275098239
CapturedFrames_-1.0_2.0_-6.0,-1.0,2.0,-6.0,26.790630462318802,17.66803297089743,58.07714637653706,50.97801448467402,37.79009241355078,46.20140067450853,65.14970986398511,42.62061943824766
CapturedFrames_-1.0_2.0_3.0,-1.0,2.0,3.0,60.802237366961734,62.52605974336163,64.60041625760653,58.738980352418736,45.23390105466521,56.657478829625894,66.5976415716246,53.71771318218745
CapturedFrames_-1.0_2.0_4.0,-1.0,2.0,4.0,58.81485698345048,62.45184129549523,79.55583359659316,51.681801459177805,52.92065358529292,55.436166884208546,67.97078911938374,50.78812362076242
CapturedFrames_-1.0_2.0_5.0,-1.0,2.0,5.0,61.337922428090764,64.78165298549312,62.372914418955105,38.52000563865654,44.342748872400115,47.22462756812382,48.03848315548859,47.323869731685534
CapturedFrames_-1.0_2.0_6.0,-1.0,2.0,6.0,63.357156263114675,48.697474944134285,43.22993148459547,41.801938961253086,43.372203177424616,40.46086667643139,50.71669647161666,49.96493591432612
CapturedFrames_-2.0_1.0_-3.0,-2.0,1.0,-3.0,36.06108651272139,21.327872275237752,56.02851899634494,62.80415590292296,49.45682192240134,61.265425442858174,60.06681646580963,33.75767898999554
CapturedFrames_-2.0_1.0_-4.0,-2.0,1.0,-4.0,34.06768269344148,25.172023608019174,58.49425861791316,59.0173422678005,45.011340703827976,45.93098285230165,71.50679034638813,38.497176888377325
CapturedFrames_-2.0_1.0_-5.0,-2.0,1.0,-5.0,38.05065098110005,20.58511773386232,53.465332004628266,58.772021609621675,50.728420812470965,43.15505676992445,65.70615083493354,35.05219526534414
CapturedFrames_-2.0_1.0_-6.0,-2.0,1.0,-6.0,39.189798274960694,18.34045948459743,56.93977428488802,50.43695200349116,45.914955501185126,46.19711021381647,61.925287651741925,31.917828265037386
