frame_id,camera,num_joints,mean_abs_delta_theta,mean_abs_delta_psi,max_abs_delta_theta,max_abs_delta_psi,median_abs_delta_theta,median_abs_delta_psi,std_delta_theta,std_delta_psi
0,CapturedFrames_-1.0_0.5_-5.0,10,124.45773754895245,54.02412293887295,173.42510553264916,104.62932075817137,150.938840608717,57.62848649750535,141.96693557151485,44.717315897598695
0,CapturedFrames_-1.0_0.5_-6.0,10,125.19341836694855,53.597277420477894,174.10074210269823,97.30557362962513,151.52032708330302,54.91351539923126,141.54116353743603,48.08655655485647
0,CapturedFrames_-1.0_1.5_-4.0,10,115.33008463175861,57.710423291678566,179.98680159977124,112.85788388047958,139.3707238093744,59.65661132686107,135.5634612432626,68.10783849547998
0,CapturedFrames_-1.0_1.5_-5.0,10,121.35397327902433,50.42212139586122,176.209242538315,107.53558873960557,149.36453917178767,47.757391625397794,141.4149052927358,56.41442970476974
0,CapturedFrames_-1.0_1.5_-6.0,10,121.17371356268457,45.47054596290706,174.1241669594307,103.78050950526402,150.66959688873735,40.88813795718205,140.4119172987067,40.95373923434122
0,CapturedFrames_-2.0_0.5_-5.0,10,128.88384332503713,61.87717787547706,179.97603140566443,116.94750800861604,151.12821057070806,62.794106375845104,137.8930783261701,40.76717244800444
0,CapturedFrames_-2.0_0.5_-6.0,10,125.67801056017622,58.82865337566741,174.92708927533775,105.80188186285913,151.72406440633785,62.02105627378652,142.83349902401037,42.757528572677224
0,CapturedFrames_-2.0_1.5_-5.0,10,122.34803627581474,69.23866923525331,179.48718649149413,112.13077484710517,149.4661569965016,68.71236090618318,125.29308818113095,29.936745265929936
0,CapturedFrames_-2.0_1.5_-6.0,10,121.80041235785704,49.91212979049137,176.2302262025862,108.21477746853162,149.8067027355004,44.646513781005794,142.0717753047847,41.06591039220336
0,CapturedFrames_-3.0_0.5_-4.0,10,133.84811078594905,84.01151889332728,177.13199568973036,119.59515226280402,153.82796095727332,75.06760765802812,146.28417064253804,25.533872607486696
0,CapturedFrames_-3.0_0.5_-5.0,10,131.23848490650943,78.84137812238535,179.52337987220415,117.02984881797043,153.99766592583734,70.32826893905205,146.84951168916555,27.21571204953786
0,CapturedFrames_-3.0_0.5_-6.0,10,127.70401173273308,70.31235125623523,179.43965473706683,111.37465589691416,153.41516751013737,63.5915063741446,145.1493485376033,25.995449071546254
0,CapturedFrames_-3.0_0.5_1.0,10,162.69578782146158,134.5106432355426,178.7269046647639,179.13473935914368,166.85132092877097,124.40817795588507,154.9406932231029,138.63254463659305
0,CapturedFrames_-3.0_1.5_-4.0,10,138.4430671423126,95.04088502172782,178.1121641692215,149.44969007297968,150.84606475712542,95.07173569893871,145.1314365746987,35.196968937992
0,CapturedFrames_-3.0_1.5_-5.0,10,123.73542892396856,78.30922357712107,179.89045474837417,115.41345936139076,151.62481621045248,71.51344767890978,139.99806573956636,28.423184062911364
0,CapturedFrames_-3.0_1.5_-6.0,10,124.1540321448902,67.59952691378172,179.3763451454773,111.9177051496554,151.51129991916667,64.76006120606539,144.55594095022948,29.589742066201687
0,CapturedFrames_-3.0_1.5_1.0,10,160.75433771504686,114.12206341710471,179.40093198512736,177.66309714273126,164.96831426097845,106.4994145220623,138.7654300352844,121.1470094560708
0,CapturedFrames_-4.0_0.5_-3.0,10,144.45451795678136,98.95121168954492,175.01240462170713,125.6524260389269,166.8279948134438,94.66067505362065,148.71161617623983,21.9743453486715
0,CapturedFrames_-4.0_0.5_-4.0,10,141.04812500351065,93.3700931486886,177.12788538322013,122.78612863532618,157.67907525013854,82.5295980013453,153.42690789339144,24.27579639404679
0,CapturedFrames_-4.0_0.5_-5.0,10,131.2451235661161,77.25546610581901,179.3312740313971,111.36685889974054,155.44573172617277,73.21033217687761,144.7157292695884,21.640854236671984
0,CapturedFrames_-4.0_0.5_-6.0,10,127.89047812437892,76.33147763151817,178.9811930620269,115.7263236550752,154.67363720900346,66.29722764072636,145.98244748461977,26.069312163745774
0,CapturedFrames_-4.0_0.5_0.0,10,159.6672147273687,125.95100531750532,176.9803944120809,175.74518951535234,164.65109035336263,122.3722791977311,152.01897492604257,120.49806356712335
0,CapturedFrames_-4.0_0.5_1.0,10,163.38584193778996,127.91463640717902,176.61675921541135,176.90225739008292,169.63816672336424,129.8466817842659,156.32008007578173,86.87528169377283
0,CapturedFrames_-4.0_1.5_-3.0,10,139.72626328258292,95.81545808347678,177.44361178255457,124.66186271346024,152.71708665901318,89.22454758280531,145.69581257672152,24.942677364253374
0,CapturedFrames_-4.0_1.5_-4.0,10,140.10666644005667,96.76556581961017,176.65694149556907,173.03026997819657,158.40599000868812,94.76200955798637,146.0705720468031,36.9947741401008
0,CapturedFrames_-4.0_1.5_-5.0,10,125.0977488794318,77.52474212559109,178.33242335493884,128.95199747119437,153.645821913629,65.29680057263587,140.9510509958984,30.921326912031397
0,CapturedFrames_-4.0_1.5_-6.0,10,123.73291376758523,76.3770795830043,179.88799603060974,113.50716604028756,152.58289657451047,70.595311054483,127.71630686637408,26.609368374373553
0,CapturedFrames_-4.0_1.5_0.0,10,155.43976169860838,127.25692876440164,178.03148235506077,171.7770017316472,160.70195653761675,128.35923631500762,134.64117215233912,108.85984142691959
0,CapturedFrames_-5.0_0.5_-1.0,10,146.9587021774244,111.1351498658588,178.7084551508323,162.5126845646775,161.3152925752956,107.29533842406197,153.75916356889613,32.11006061277516
0,CapturedFrames_-5.0_0.5_-2.0,10,145.79281619509257,103.67784996048245,175.3910447143833,152.16781325448662,166.9263005219808,98.01283792698584,159.30393066896792,26.770194852885822
