folder_name,camera_x,camera_y,camera_z,L_Elbow,R_Elbow,L_Knee,R_Knee,L_Shoulder,R_Shoulder,L_Hip,R_Hip
CapturedFrames_-1.0_1.0_-3.0,-1.0,1.0,-3.0,15.889421416567233,7.6077443412530945,19.237384469907546,25.173226177865182,25.156730557367695,39.4773948792458,44.6947813525921,16.805451222318418
CapturedFrames_-1.0_1.0_-4.0,-1.0,1.0,-4.0,16.8010361343237,6.624268165203764,19.10705541213507,30.39334439148068,27.874722348732895,37.188442334976884,46.30457581956021,15.533099288832172
CapturedFrames_-1.0_1.0_-5.0,-1.0,1.0,-5.0,17.275303719498755,8.129276183701604,14.982832033188307,22.056454458201422,31.052791392738783,34.71992545696158,47.92807911841106,18.076486120424054
CapturedFrames_-1.0_1.0_-6.0,-1.0,1.0,-6.0,18.60616046159831,9.121958994972509,16.556056926714277,26.012722768130356,30.743405959942766,34.96843481295404,43.82051092722698,18.217871878009447
CapturedFrames_-1.0_1.0_3.0,-1.0,1.0,3.0,19.965915907895162,24.352288812017477,23.25953540485412,20.186493967284736,26.76224168461988,37.89063494586553,28.68117238295139,33.48201820733606
CapturedFrames_-1.0_1.0_4.0,-1.0,1.0,4.0,19.55362638966483,20.80565660645132,20.021677198784,22.106218394171112,28.307044045332237,35.13497265510857,33.241061412608374,31.745832499329243
CapturedFrames_-1.0_1.0_5.0,-1.0,1.0,5.0,27.251373663261365,23.875974564342677,16.935325016871868,23.682219764371833,32.92217947257953,32.31499808130766,30.469577740852078,35.79133488586342
CapturedFrames_-1.0_1.0_6.0,-1.0,1.0,6.0,35.831450817911474,10.39603702738729,20.909718987066256,23.04395017577189,41.68312456785474,22.41045565630268,29.498578561483278,37.7376599920317
CapturedFrames_-1.0_2.0_-3.0,-1.0,2.0,-3.0,16.251557294404602,7.985972847337937,18.768485677251,23.75635182236963,27.244095677119052,36.636779028982346,53.30657744325335,17.021268027785105
CapturedFrames_-1.0_2.0_-4.0,-1.0,2.0,-4.0,13.89525468146226,7.380948265724928,16.18133565255236,29.804098611881543,27.733212377108863,36.27205521553799,53.93664099559763,13.513263900270259
CapturedFrames_-1.0_2.0_-5.0,-1.0,2.0,-5.0,15.536460168010422,8.428559219497094,13.478029300344918,20.93868170691015,31.286322162586266,37.04246711505452,52.256431262479104,17.024724963992064
CapturedFrames_-1.0_2.0_-6.0,-1.0,2.0,-6.0,18.74365161888974,7.559655361188181,12.066352689100027,21.450850862516145,28.932729033680435,37.39748513261169,51.85003216008302,14.658453616532539
CapturedFrames_-1.0_2.0_3.0,-1.0,2.0,3.0,25.414992567189604,25.672908343614925,21.289637874334666,21.462564705671067,34.61116445970332,30.23486040993577,32.37850679637969,36.08577672962686
CapturedFrames_-1.0_2.0_4.0,-1.0,2.0,4.0,27.454479763232783,27.670051479524332,26.976727845319253,19.618972155277973,32.42211407490372,31.839422610120963,30.017915952185408,34.41449116499362
CapturedFrames_-1.0_2.0_5.0,-1.0,2.0,5.0,31.763764006587156,27.71578934443222,21.882407306711862,20.85184772191825,33.52866493757702,30.1739021246707,30.5714251092364,35.19207515486555
CapturedFrames_-1.0_2.0_6.0,-1.0,2.0,6.0,46.48581242891093,23.357159659136567,20.46776980737371,17.240566513077795,34.56327511710465,29.272762270329224,29.52918073812284,31.40590134038353
