joint,LEFT_ANKLE,LEFT_ELBOW,LEFT_HIP,LEFT_KNEE,LEFT_SHOULDER,LEFT_WRIST,RIGHT_ANKLE,RIGHT_ELBOW,RIGHT_HIP,RIGHT_KNEE,RIGHT_SHOULDER,RIGHT_WRIST
LEFT_ANKLE,1.0,0.4613056909314957,0.2826082679188091,0.7108866905042098,0.650286812125233,0.28476615945205064,0.37891528427741683,0.12497165108290288,0.28260826791880894,0.33567353031062086,0.6170222510921269,0.009356452965834972
LEFT_ELBOW,0.4613056909314957,1.0,0.33435422057577224,0.5223541819177111,0.4427559953802782,0.8765625564816547,0.09116544097329402,-0.020381798075054094,0.33435422057577235,-0.12508553479691473,0.2882954437517009,-0.07147746356600831
LEFT_HIP,0.2826082679188091,0.33435422057577224,1.0,0.2880815161424202,0.5178901138368602,0.1432034251776852,0.2321313189019804,0.17748991886078164,1.0000000000000002,0.17074106597492436,0.47333829821962753,0.006878385499658693
LEFT_KNEE,0.7108866905042098,0.5223541819177111,0.2880815161424202,1.0,0.6210428629596861,0.31846446781905763,0.3485373506559297,-0.09593429500163451,0.28808151614242017,0.2528922778726328,0.49522036146130755,-0.12050186646069505
LEFT_SHOULDER,0.650286812125233,0.4427559953802782,0.5178901138368602,0.6210428629596861,1.0,0.17626407699312432,0.6348421764367547,0.2504615773475817,0.5178901138368599,0.5108104272043769,0.9253328662290875,0.006609796406323744
LEFT_WRIST,0.28476615945205064,0.8765625564816547,0.1432034251776852,0.31846446781905763,0.17626407699312432,1.0,-0.09138527652246736,-0.03295532688861377,0.14320342517768528,-0.1575599158621669,0.049585443647432025,-0.030377925523164498
RIGHT_ANKLE,0.37891528427741683,0.09116544097329402,0.2321313189019804,0.3485373506559297,0.6348421764367547,-0.09138527652246736,1.0,0.4758882635973001,0.2321313189019804,0.7162282397993935,0.6401253404035071,0.30508065659395756
RIGHT_ELBOW,0.12497165108290288,-0.020381798075054094,0.17748991886078164,-0.09593429500163451,0.2504615773475817,-0.03295532688861377,0.4758882635973001,1.0,0.17748991886078164,0.5010769071684679,0.4165092957212935,0.907181728722152
RIGHT_HIP,0.28260826791880894,0.33435422057577235,1.0000000000000002,0.28808151614242017,0.5178901138368599,0.14320342517768528,0.2321313189019804,0.17748991886078164,1.0,0.17074106597492436,0.47333829821962714,0.006878385499658832
RIGHT_KNEE,0.33567353031062086,-0.12508553479691473,0.17074106597492436,0.2528922778726328,0.5108104272043769,-0.1575599158621669,0.7162282397993935,0.5010769071684679,0.17074106597492436,1.0,0.6000320416904013,0.3427172299666482
RIGHT_SHOULDER,0.6170222510921269,0.2882954437517009,0.47333829821962753,0.49522036146130755,0.9253328662290875,0.049585443647432025,0.6401253404035071,0.4165092957212935,0.47333829821962714,0.6000320416904013,1.0,0.16525910905377064
RIGHT_WRIST,0.009356452965834972,-0.07147746356600831,0.006878385499658693,-0.12050186646069505,0.006609796406323744,-0.030377925523164498,0.30508065659395756,0.907181728722152,0.006878385499658832,0.3427172299666482,0.16525910905377064,1.0
